时间,耗时,索引,分数,等级,结果
2021-10-12 16:53:35,344ms,0,123,3,PASS
2021-10-12 16:53:36,344ms,0,109,3,PASS
2021-10-12 16:53:37,360ms,0,140,3,PASS
2021-10-12 16:53:39,344ms,0,128,3,PASS
2021-10-12 16:53:41,344ms,0,142,3,PASS
2021-10-12 16:53:42,359ms,0,107,3,PASS
2021-10-12 16:53:44,344ms,0,107,3,PASS
2021-10-12 16:53:45,360ms,0,114,3,PASS
2021-10-12 16:53:46,344ms,0,109,3,PASS
2021-10-12 16:53:48,344ms,0,114,3,PASS
2021-10-12 16:53:49,375ms,0,130,3,PASS
2021-10-12 16:53:51,360ms,0,130,3,PASS
2021-10-12 16:53:53,328ms,0,140,3,PASS
2021-10-12 16:53:54,360ms,0,133,3,PASS
2021-10-12 16:53:55,329ms,0,128,3,PASS
2021-10-12 16:53:56,359ms,0,104,3,PASS
2021-10-12 16:53:59,344ms,0,150,3,PASS
2021-10-12 16:54:01,375ms,0,111,3,PASS
2021-10-12 16:54:04,328ms,0,142,3,PASS
2021-10-12 16:54:06,343ms,0,119,3,PASS
2021-10-12 16:54:08,375ms,0,133,3,PASS
2021-10-12 16:54:09,344ms,0,145,3,PASS
2021-10-12 16:54:13,344ms,0,119,3,PASS
2021-10-12 16:54:15,359ms,0,130,3,PASS
2021-10-12 16:54:18,343ms,0,114,3,PASS
2021-10-12 16:54:20,344ms,0,100,3,PASS
2021-10-12 16:54:22,344ms,0,111,3,PASS
2021-10-12 16:54:27,344ms,0,80,3,PASS
2021-10-12 16:54:31,375ms,0,135,3,PASS
2021-10-12 16:54:34,360ms,0,138,3,PASS
2021-10-12 16:54:36,344ms,0,147,3,PASS
2021-10-12 16:54:39,328ms,0,126,3,PASS
2021-10-12 16:54:40,328ms,0,104,3,PASS
2021-10-12 16:56:16,360ms,0,111,3,PASS
2021-10-12 16:56:19,344ms,0,114,3,PASS
2021-10-12 16:56:22,344ms,0,121,3,PASS
2021-10-12 16:56:23,375ms,0,140,3,PASS
2021-10-12 16:56:24,359ms,0,145,3,PASS
2021-10-12 16:56:26,375ms,0,150,3,PASS
2021-10-12 16:57:16,359ms,0,109,3,PASS
2021-10-12 16:57:17,344ms,0,150,3,PASS
2021-10-12 16:57:18,359ms,0,85,3,PASS
2021-10-12 16:57:19,375ms,0,109,3,PASS
2021-10-12 16:57:20,328ms,0,116,3,PASS
2021-10-12 16:57:22,360ms,0,102,3,PASS
