时间,耗时,索引,分数,等级,结果
2021-10-17 11:34:50,485ms,0,221,3,PASS
2021-10-17 11:34:53,485ms,0,129,3,PASS
2021-10-17 11:34:54,515ms,0,166,3,PASS
2021-10-17 11:34:56,500ms,0,166,3,PASS
2021-10-17 11:34:58,500ms,0,237,3,PASS
2021-10-17 11:34:59,485ms,0,151,3,PASS
2021-10-17 11:35:01,484ms,0,129,3,PASS
2021-10-17 11:35:02,516ms,0,233,3,PASS
2021-10-17 11:35:04,516ms,0,225,3,PASS
2021-10-17 11:35:05,469ms,0,225,3,PASS
2021-10-17 11:35:07,610ms,0,238,3,PASS
2021-10-17 11:35:08,578ms,0,87,3,PASS
2021-10-17 11:35:10,500ms,0,140,3,PASS
2021-10-17 11:35:11,406ms,0,40,3,NG
2021-10-17 11:35:12,485ms,0,186,3,PASS
2021-10-17 11:35:14,484ms,0,232,3,PASS
2021-10-17 11:35:43,485ms,0,107,3,PASS
2021-10-17 11:35:45,453ms,0,149,3,PASS
2021-10-17 11:35:46,547ms,0,25,3,NG
2021-10-17 11:35:47,484ms,0,137,3,PASS
2021-10-17 11:35:49,453ms,0,139,3,PASS
2021-10-17 11:35:51,515ms,0,181,3,PASS
2021-10-17 11:35:54,453ms,0,125,3,PASS
2021-10-17 11:35:57,500ms,0,148,3,PASS
2021-10-17 11:35:58,672ms,0,171,3,PASS
2021-10-17 11:36:00,469ms,0,170,3,PASS
2021-10-17 11:36:02,469ms,0,190,3,PASS
2021-10-17 11:36:03,500ms,0,109,3,PASS
2021-10-17 11:36:04,484ms,0,188,3,PASS
2021-10-17 11:38:05,469ms,0,166,3,PASS
2021-10-17 11:38:06,469ms,0,190,3,PASS
2021-10-17 11:39:28,344ms,0,0,3,NG
2021-10-17 11:39:30,344ms,0,0,3,NG
