时间,耗时,索引,分数,等级,结果
2021-06-08 14:43:27,500ms,0,100,3,PASS
2021-06-08 14:43:29,484ms,0,100,3,PASS
2021-06-08 14:43:30,516ms,0,0,3,NG
2021-06-08 14:43:31,500ms,0,100,3,PASS
2021-06-08 14:43:48,500ms,0,0,3,NG
2021-06-08 14:43:50,500ms,0,0,3,NG
2021-06-08 14:43:52,485ms,0,0,3,NG
2021-06-08 14:43:53,500ms,0,0,3,NG
2021-06-08 14:43:56,484ms,0,0,3,NG
2021-06-08 14:44:20,500ms,0,0,3,NG
2021-06-08 14:44:22,500ms,0,0,3,NG
2021-06-08 14:44:24,485ms,0,0,3,NG
2021-06-08 14:44:25,485ms,0,0,3,NG
2021-06-08 14:44:28,500ms,0,0,3,NG
2021-06-08 14:44:35,500ms,0,0,3,NG
2021-06-08 14:44:36,484ms,0,0,3,NG
2021-06-08 14:44:37,484ms,0,0,3,NG
2021-06-08 14:44:38,485ms,0,0,3,NG
2021-06-08 14:44:40,484ms,0,0,3,NG
2021-06-08 14:44:41,484ms,0,0,3,NG
2021-06-08 14:44:45,500ms,0,0,3,NG
2021-06-08 14:45:28,500ms,0,100,3,PASS
2021-06-08 14:45:30,500ms,0,100,3,PASS
2021-06-08 14:45:32,485ms,0,100,3,PASS
2021-06-08 14:46:49,516ms,0,100,3,PASS
2021-06-08 14:46:52,500ms,0,100,3,PASS
