时间,耗时,索引,分数,等级,结果
2021-06-01 01:24:11,547ms,0,100,3,PASS
2021-06-01 01:24:13,578ms,0,100,3,PASS
2021-06-01 01:24:14,453ms,0,100,3,NG
2021-06-01 01:24:15,578ms,0,100,3,PASS
2021-06-01 01:24:17,563ms,0,100,3,PASS
2021-06-01 01:24:18,484ms,0,100,3,PASS
2021-06-01 01:24:20,563ms,0,100,3,PASS
2021-06-01 01:24:21,578ms,0,100,3,PASS
2021-06-01 01:24:23,407ms,0,100,3,PASS
2021-06-01 01:24:24,500ms,0,100,3,PASS
2021-06-01 01:24:25,578ms,0,100,3,PASS
2021-06-01 01:24:27,546ms,0,100,3,PASS
2021-06-01 01:24:28,438ms,0,100,3,PASS
2021-06-01 01:24:29,578ms,0,100,3,PASS
2021-06-01 01:24:31,578ms,0,100,3,PASS
2021-06-01 01:24:32,547ms,0,100,3,PASS
2021-06-01 01:24:33,484ms,0,100,3,PASS
2021-06-01 01:24:35,578ms,0,100,3,PASS
2021-06-01 01:24:36,563ms,0,100,3,PASS
2021-06-01 01:24:38,531ms,0,100,3,PASS
2021-06-01 01:24:39,422ms,0,100,3,PASS
2021-06-01 01:24:41,578ms,0,100,3,PASS
2021-06-01 01:24:42,578ms,0,100,3,PASS
2021-06-01 01:24:46,438ms,0,100,3,PASS
2021-06-01 01:24:47,453ms,0,100,3,NG
2021-06-01 01:24:48,484ms,0,100,3,PASS
2021-06-01 01:24:50,406ms,0,100,3,PASS
2021-06-01 01:24:51,547ms,0,100,3,PASS
2021-06-01 01:24:52,578ms,0,100,3,PASS
2021-06-01 01:24:54,578ms,0,100,3,PASS
2021-06-01 01:24:55,437ms,0,100,3,PASS
2021-06-01 01:24:58,485ms,0,100,3,PASS
2021-06-01 01:25:00,546ms,0,100,3,PASS
2021-06-01 01:37:30,516ms,0,100,3,PASS
2021-06-01 01:37:31,437ms,0,100,3,NG
2021-06-01 01:37:32,453ms,0,100,3,NG
2021-06-01 01:37:34,516ms,0,100,3,PASS
2021-06-01 01:37:35,437ms,0,100,3,NG
2021-06-01 01:48:23,516ms,0,100,3,PASS
2021-06-01 01:48:26,563ms,0,100,3,PASS
2021-06-01 01:48:28,547ms,0,100,3,PASS
2021-06-01 01:48:29,579ms,0,100,3,PASS
2021-06-01 01:48:32,594ms,0,100,3,PASS
2021-06-01 01:48:34,594ms,0,100,3,PASS
2021-06-01 01:48:36,609ms,0,100,3,PASS
2021-06-01 01:48:37,610ms,0,100,3,PASS
2021-06-01 01:48:39,484ms,0,100,3,NG
2021-06-01 01:48:42,609ms,0,100,3,PASS
2021-06-01 01:48:43,625ms,0,100,3,PASS
2021-06-01 01:48:45,609ms,0,100,3,PASS
2021-06-01 01:48:46,625ms,0,100,3,PASS
2021-06-01 01:48:48,609ms,0,100,3,PASS
2021-06-01 01:48:50,609ms,0,100,3,PASS
2021-06-01 01:48:52,485ms,0,100,3,PASS
2021-06-01 01:48:53,609ms,0,100,3,PASS
2021-06-01 01:48:55,610ms,0,100,3,PASS
2021-06-01 01:48:56,625ms,0,100,3,PASS
2021-06-01 01:48:58,500ms,0,100,3,NG
2021-06-01 01:48:59,594ms,0,100,3,PASS
2021-06-01 01:49:00,500ms,0,100,3,PASS
2021-06-01 01:49:01,578ms,0,100,3,PASS
2021-06-01 01:49:03,468ms,0,100,3,NG
2021-06-01 01:49:05,609ms,0,100,3,PASS
2021-06-01 01:49:07,500ms,0,100,3,NG
2021-06-01 01:49:08,610ms,0,100,3,PASS
2021-06-01 01:49:10,609ms,0,100,3,PASS
2021-06-01 01:49:11,610ms,0,100,3,PASS
2021-06-01 01:49:13,484ms,0,100,3,PASS
2021-06-01 01:49:14,625ms,0,100,3,PASS
2021-06-01 01:49:16,547ms,0,100,3,PASS
2021-06-01 01:49:18,610ms,0,100,3,PASS
2021-06-01 01:49:19,610ms,0,100,3,PASS
2021-06-01 01:49:20,625ms,0,100,3,PASS
2021-06-01 01:49:21,625ms,0,100,3,PASS
2021-06-01 01:49:24,438ms,0,100,3,PASS
2021-06-01 01:49:25,609ms,0,100,3,PASS
2021-06-01 01:49:26,625ms,0,100,3,PASS
2021-06-01 01:49:28,609ms,0,100,3,PASS
2021-06-01 01:49:30,625ms,0,100,3,PASS
2021-06-01 01:49:32,610ms,0,100,3,PASS
2021-06-01 01:49:33,641ms,0,100,3,PASS
2021-06-01 01:49:35,610ms,0,100,3,PASS
2021-06-01 01:49:36,579ms,0,100,3,PASS
2021-06-01 01:49:38,609ms,0,100,3,PASS
2021-06-01 01:49:41,609ms,0,100,3,PASS
2021-06-01 01:49:42,609ms,0,100,3,PASS
2021-06-01 01:52:40,500ms,0,100,3,PASS
2021-06-01 01:52:41,515ms,0,100,3,PASS
2021-06-01 01:52:43,468ms,0,100,3,NG
2021-06-01 01:52:45,454ms,0,100,3,NG
2021-06-01 01:52:46,531ms,0,100,3,PASS
2021-06-01 01:56:02,485ms,0,100,3,PASS
2021-06-01 01:56:03,406ms,0,100,3,NG
2021-06-01 01:56:04,469ms,0,100,3,PASS
2021-06-01 01:56:05,515ms,0,100,3,PASS
2021-06-01 01:56:07,469ms,0,100,3,PASS
2021-06-01 01:56:08,422ms,0,100,3,NG
2021-06-01 01:56:09,516ms,0,100,3,PASS
2021-06-01 01:56:10,406ms,0,100,3,NG
2021-06-01 01:56:12,422ms,0,100,3,PASS
2021-06-01 01:56:13,531ms,0,100,3,PASS
2021-06-01 01:56:14,422ms,0,100,3,PASS
2021-06-01 01:56:15,547ms,0,100,3,NG
2021-06-01 01:56:17,547ms,0,100,3,PASS
2021-06-01 01:56:18,453ms,0,100,3,NG
2021-06-01 01:56:19,422ms,0,100,3,NG
2021-06-01 01:56:20,437ms,0,100,3,NG
2021-06-01 01:56:22,562ms,0,100,3,PASS
2021-06-01 01:56:23,547ms,0,100,3,PASS
2021-06-01 11:25:17,1344ms,0,100,3,NG
2021-06-01 11:25:19,1344ms,0,100,3,NG
2021-06-01 11:25:22,1344ms,0,100,3,NG
2021-06-01 11:25:26,1360ms,0,100,3,NG
2021-06-01 14:22:37,312ms,0,100,3,PASS
2021-06-01 14:22:38,297ms,0,100,3,PASS
2021-06-01 14:22:39,328ms,0,100,3,PASS
2021-06-01 14:22:40,344ms,0,100,3,PASS
