时间,耗时,索引,分数,等级,结果
2021-07-23 18:37:32,437ms,0,100,3,PASS
2021-07-23 18:37:35,422ms,0,100,3,PASS
2021-07-23 18:37:36,422ms,0,100,3,PASS
2021-07-23 18:37:38,421ms,0,100,3,PASS
2021-07-23 18:37:39,422ms,0,100,3,PASS
2021-07-23 18:37:41,421ms,0,100,3,PASS
2021-07-23 18:38:02,313ms,0,100,3,NG
2021-07-23 18:38:04,406ms,0,100,3,PASS
2021-07-23 18:38:06,422ms,0,100,3,PASS
2021-07-23 18:38:07,375ms,0,100,3,PASS
2021-07-23 18:38:09,422ms,0,100,3,PASS
2021-07-23 18:38:10,437ms,0,100,3,PASS
2021-07-23 18:38:11,281ms,0,100,3,NG
2021-07-23 18:38:13,437ms,0,100,3,PASS
2021-07-23 18:38:15,438ms,0,100,3,PASS
2021-07-23 18:38:16,422ms,0,100,3,PASS
2021-07-23 18:38:17,453ms,0,100,3,PASS
2021-07-23 18:38:19,422ms,0,100,3,PASS
2021-07-23 18:38:21,422ms,0,100,3,PASS
