时间,耗时,索引,分数,等级,结果
2021-08-12 11:47:38,328ms,0,100,3,PASS
2021-08-12 11:47:39,343ms,0,100,3,PASS
2021-08-12 11:47:40,328ms,0,100,3,PASS
2021-08-12 11:47:41,329ms,0,100,3,PASS
2021-08-12 11:47:43,297ms,0,100,3,PASS
2021-08-12 11:47:44,297ms,0,0,3,NG
2021-08-12 11:47:46,281ms,0,100,3,PASS
2021-08-12 11:47:47,282ms,0,100,3,PASS
2021-08-12 11:48:05,250ms,0,0,3,NG
2021-08-12 11:48:06,282ms,0,0,3,NG
2021-08-12 11:48:07,234ms,0,0,3,NG
2021-08-12 13:39:58,704ms,0,100,3,PASS
2021-08-12 13:40:00,703ms,0,100,3,PASS
2021-08-12 13:40:02,703ms,0,100,3,PASS
2021-08-12 13:40:04,656ms,0,100,3,PASS
2021-08-12 13:40:05,718ms,0,100,3,PASS
2021-08-12 13:40:07,703ms,0,100,3,PASS
2021-08-12 13:40:09,656ms,0,100,3,PASS
2021-08-12 13:40:12,719ms,0,100,3,PASS
2021-08-12 13:40:13,672ms,0,100,3,PASS
