时间,耗时,索引,分数,等级,结果
2021-08-14 11:32:07,485ms,0,0,3,NG
2021-08-14 11:32:09,485ms,0,0,3,NG
2021-08-14 11:32:11,500ms,0,0,3,NG
2021-08-14 11:32:12,500ms,0,100,3,PASS
2021-08-14 11:32:14,500ms,0,0,3,NG
2021-08-14 11:32:15,500ms,0,0,3,NG
2021-08-14 11:32:17,500ms,0,0,3,NG
2021-08-14 11:32:19,500ms,0,0,3,NG
2021-08-14 11:32:21,500ms,0,0,3,NG
2021-08-14 11:32:24,500ms,0,0,3,NG
2021-08-14 11:32:40,500ms,1,100,3,PASS
2021-08-14 11:32:41,500ms,1,100,3,PASS
2021-08-14 11:32:45,500ms,1,100,3,PASS
2021-08-14 11:32:48,500ms,1,100,3,PASS
2021-08-14 11:32:50,500ms,1,100,3,PASS
2021-08-14 11:32:51,484ms,1,100,3,PASS
2021-08-14 11:32:53,500ms,1,100,3,PASS
2021-08-14 11:32:56,485ms,1,100,3,PASS
2021-08-14 11:32:57,500ms,1,100,3,PASS
2021-08-14 11:33:01,500ms,1,100,3,PASS
2021-08-14 11:33:02,500ms,1,100,3,PASS
2021-08-14 11:35:21,500ms,1,100,3,PASS
2021-08-14 11:35:24,500ms,1,100,3,PASS
2021-08-14 11:35:28,500ms,1,100,3,PASS
2021-08-14 11:35:30,500ms,0,0,3,NG
2021-08-14 11:35:31,484ms,1,100,3,PASS
2021-08-14 11:35:33,500ms,0,0,3,NG
2021-08-14 11:35:37,500ms,0,0,3,NG
2021-08-14 11:35:38,500ms,1,100,3,PASS
2021-08-14 11:35:40,484ms,1,100,3,PASS
2021-08-14 11:35:41,500ms,1,100,3,PASS
2021-08-14 11:35:43,500ms,1,100,3,PASS
2021-08-14 11:35:44,500ms,1,100,3,PASS
2021-08-14 11:35:48,500ms,0,0,3,NG
2021-08-14 11:35:50,516ms,0,0,3,NG
2021-08-14 11:35:52,500ms,1,100,3,PASS
2021-08-14 11:35:54,500ms,1,100,3,PASS
2021-08-14 11:35:56,468ms,0,0,3,NG
2021-08-14 11:35:57,500ms,1,100,3,PASS
2021-08-14 11:36:15,516ms,2,100,3,PASS
2021-08-14 11:36:18,500ms,2,100,3,PASS
2021-08-14 11:36:19,500ms,2,100,3,PASS
2021-08-14 11:36:21,516ms,2,100,3,PASS
2021-08-14 11:36:22,500ms,2,100,3,PASS
2021-08-14 11:36:25,500ms,2,100,3,PASS
