时间,耗时,索引,分数,等级,结果
2021-06-30 16:41:52,562ms,0,0,3,NG
2021-06-30 16:41:53,578ms,0,100,3,PASS
2021-06-30 16:41:55,563ms,0,0,3,NG
2021-06-30 16:41:56,563ms,0,0,3,NG
2021-06-30 16:41:58,563ms,0,0,3,NG
2021-06-30 16:41:59,578ms,0,100,3,PASS
2021-06-30 16:42:00,563ms,0,100,3,PASS
2021-06-30 16:42:02,578ms,0,100,3,PASS
2021-06-30 16:42:03,578ms,0,100,3,PASS
2021-06-30 16:42:04,563ms,0,0,3,NG
2021-06-30 16:42:06,578ms,0,100,3,PASS
2021-06-30 16:42:07,563ms,0,0,3,NG
2021-06-30 16:42:09,578ms,0,100,3,PASS
2021-06-30 16:42:11,562ms,0,0,3,NG
2021-06-30 16:42:12,578ms,0,100,3,PASS
2021-06-30 16:42:13,562ms,0,0,3,NG
2021-06-30 16:42:14,578ms,0,100,3,PASS
2021-06-30 16:42:16,594ms,0,100,3,PASS
2021-06-30 16:42:17,562ms,0,0,3,NG
2021-06-30 16:42:19,563ms,0,100,3,PASS
2021-06-30 16:42:20,578ms,0,100,3,PASS
2021-06-30 16:42:33,578ms,1,100,3,PASS
2021-06-30 16:42:36,578ms,1,100,3,PASS
2021-06-30 16:42:37,562ms,1,100,3,PASS
2021-06-30 16:42:40,579ms,1,100,3,PASS
2021-06-30 16:42:41,578ms,1,100,3,PASS
2021-06-30 16:42:43,594ms,1,100,3,PASS
2021-06-30 16:42:44,578ms,1,100,3,PASS
