时间,耗时,索引,分数,等级,结果
2021-12-07 11:53:31,1453ms,65068,13552,3,NG
2021-12-07 11:53:33,1469ms,65068,13552,3,NG
2021-12-07 11:53:37,1469ms,65068,13552,3,NG
2021-12-07 11:53:59,1422ms,65068,13552,3,NG
2021-12-07 11:54:03,1468ms,65068,13552,3,NG
2021-12-07 11:54:06,1453ms,65068,13552,3,NG
2021-12-07 13:27:20,1188ms,65068,15612,3,NG
2021-12-07 13:27:22,1187ms,65068,15612,3,NG
2021-12-07 13:27:25,1218ms,65068,15612,3,NG
2021-12-07 13:27:28,1187ms,65068,15612,3,NG
2021-12-07 13:27:30,1203ms,65068,15612,3,NG
2021-12-07 13:27:33,1204ms,65068,15612,3,NG
2021-12-07 13:27:35,1203ms,65068,15612,3,NG
2021-12-07 13:27:37,1188ms,65068,15612,3,NG
2021-12-07 13:27:39,1203ms,65068,15612,3,NG
2021-12-07 13:38:33,1203ms,65068,16051,3,NG
2021-12-07 13:38:37,1187ms,65068,16051,3,NG
2021-12-07 13:38:39,1187ms,65068,16051,3,NG
2021-12-07 13:38:41,1203ms,65068,16051,3,NG
2021-12-07 13:38:43,1188ms,65068,16051,3,NG
2021-12-07 13:38:46,1188ms,65068,16051,3,NG
2021-12-07 13:38:48,1203ms,65068,16051,3,NG
2021-12-07 13:38:51,1204ms,65068,16051,3,NG
2021-12-07 14:26:20,1813ms,65068,17587,3,NG
2021-12-07 14:26:46,1828ms,65068,17587,3,NG
2021-12-07 15:40:00,1203ms,65068,14715,3,NG
2021-12-07 15:40:03,1187ms,65068,14715,3,NG
2021-12-07 15:40:05,1203ms,65068,14715,3,NG
2021-12-07 15:40:09,1203ms,65068,14715,3,NG
2021-12-07 15:48:56,1187ms,65068,14653,3,NG
2021-12-07 17:36:56,203ms,0,100,3,PASS
2021-12-07 17:36:57,188ms,0,100,3,PASS
2021-12-07 17:36:58,188ms,0,100,3,PASS
2021-12-07 17:37:00,219ms,0,0,3,NG
2021-12-07 17:37:01,188ms,0,100,3,PASS
2021-12-07 17:37:02,203ms,0,100,3,PASS
2021-12-07 17:37:03,219ms,0,100,3,PASS
2021-12-07 17:37:04,187ms,0,100,3,PASS
2021-12-07 17:37:05,204ms,0,100,3,PASS
2021-12-07 17:37:07,188ms,0,0,3,NG
2021-12-07 17:37:08,203ms,0,100,3,PASS
2021-12-07 17:37:09,187ms,0,0,3,NG
2021-12-07 17:37:10,203ms,0,100,3,PASS
2021-12-07 17:41:21,828ms,0,100,3,PASS
2021-12-07 17:41:29,203ms,0,0,3,NG
2021-12-07 17:41:32,187ms,0,100,3,PASS
2021-12-07 17:41:33,187ms,0,100,3,PASS
2021-12-07 17:41:34,203ms,0,100,3,PASS
2021-12-07 17:41:46,187ms,0,100,3,PASS
2021-12-07 17:42:06,203ms,0,0,3,NG
2021-12-07 17:42:21,188ms,0,0,3,NG
2021-12-07 17:42:37,203ms,0,100,3,PASS
2021-12-07 17:42:38,203ms,0,100,3,PASS
2021-12-07 17:42:39,203ms,0,100,3,PASS
2021-12-07 17:42:40,203ms,0,100,3,PASS
2021-12-07 17:42:41,204ms,0,100,3,PASS
2021-12-07 17:42:43,203ms,0,100,3,PASS
2021-12-07 17:42:44,218ms,0,100,3,PASS
2021-12-07 17:42:45,203ms,0,100,3,PASS
2021-12-07 17:42:46,203ms,0,0,3,NG
2021-12-07 17:42:47,203ms,0,0,3,NG
2021-12-07 17:42:48,203ms,0,0,3,NG
2021-12-07 17:42:49,204ms,0,100,3,PASS
2021-12-07 17:42:51,203ms,0,100,3,PASS
