时间,耗时,索引,分数,等级,结果
2021-05-30 16:50:13,437ms,0,100,3,NG
2021-05-30 16:50:15,468ms,0,100,3,PASS
2021-05-30 18:59:12,1547ms,0,100,3,NG
2021-05-30 18:59:15,1578ms,0,100,3,NG
2021-05-30 19:40:57,484ms,0,100,3,PASS
2021-05-30 19:40:59,453ms,0,100,3,NG
2021-05-30 19:41:00,516ms,0,100,3,PASS
2021-05-30 19:41:01,531ms,0,100,3,PASS
2021-05-30 19:41:03,547ms,0,100,3,PASS
2021-05-30 19:41:04,485ms,0,100,3,PASS
2021-05-30 19:41:06,563ms,0,100,3,PASS
2021-05-30 19:41:07,593ms,0,100,3,PASS
2021-05-30 19:41:09,422ms,0,100,3,NG
