时间,耗时,索引,分数,等级,结果
2021-06-03 13:03:00,500ms,0,100,3,PASS
2021-06-03 13:03:04,484ms,0,100,3,PASS
2021-06-03 13:03:06,500ms,0,100,3,PASS
2021-06-03 13:03:07,500ms,0,100,3,PASS
2021-06-03 13:03:10,500ms,0,100,3,PASS
2021-06-03 13:03:11,500ms,0,100,3,PASS
2021-06-03 13:03:13,500ms,0,100,3,PASS
2021-06-03 13:03:14,500ms,0,100,3,PASS
2021-06-03 13:03:15,500ms,0,100,3,PASS
2021-06-03 13:03:17,500ms,0,100,3,PASS
2021-06-03 13:03:18,500ms,0,100,3,PASS
2021-06-03 13:03:19,500ms,0,100,3,PASS
2021-06-03 13:03:21,500ms,0,100,3,PASS
2021-06-03 13:03:22,500ms,0,100,3,PASS
2021-06-03 13:03:23,484ms,0,100,3,PASS
2021-06-03 13:04:42,500ms,0,0,3,NG
2021-06-03 13:04:45,500ms,0,0,3,NG
2021-06-03 13:04:48,500ms,0,0,3,NG
2021-06-03 13:04:50,500ms,0,0,3,NG
2021-06-03 13:04:51,500ms,0,0,3,NG
2021-06-03 13:04:53,500ms,0,100,3,PASS
2021-06-03 13:04:56,500ms,0,100,3,PASS
2021-06-03 13:04:57,500ms,0,100,3,PASS
2021-06-03 13:04:59,500ms,0,100,3,PASS
2021-06-03 13:05:01,500ms,0,100,3,PASS
2021-06-03 13:05:02,485ms,0,0,3,NG
2021-06-03 13:05:04,484ms,0,0,3,NG
2021-06-03 13:05:05,484ms,0,0,3,NG
2021-06-03 13:05:07,500ms,0,0,3,NG
2021-06-03 13:05:09,500ms,0,0,3,NG
2021-06-03 13:05:10,500ms,0,0,3,NG
2021-06-03 13:05:12,516ms,0,0,3,NG
2021-06-03 13:05:14,515ms,0,0,3,NG
2021-06-03 13:05:16,500ms,0,0,3,NG
2021-06-03 13:05:18,500ms,0,0,3,NG
2021-06-03 13:05:19,485ms,0,100,3,PASS
2021-06-03 13:05:21,500ms,0,100,3,PASS
2021-06-03 13:05:23,500ms,0,0,3,NG
