时间,耗时,索引,分数,等级,结果
2021-07-29 18:43:32,437ms,0,100,3,PASS
2021-07-29 18:43:34,422ms,0,100,3,NG
2021-07-29 18:43:36,453ms,0,100,3,PASS
2021-07-29 18:43:38,453ms,0,100,3,PASS
2021-07-29 18:43:40,469ms,0,100,3,PASS
2021-07-29 18:43:42,485ms,0,100,3,PASS
2021-07-29 18:43:43,500ms,0,100,3,PASS
2021-07-29 18:43:45,390ms,0,100,3,PASS
2021-07-29 18:43:46,406ms,0,100,3,PASS
2021-07-29 18:43:48,406ms,0,100,3,NG
2021-07-29 18:43:49,515ms,0,100,3,PASS
2021-07-29 18:43:50,437ms,0,100,3,PASS
2021-07-29 18:43:52,547ms,0,100,3,PASS
2021-07-29 18:43:54,468ms,0,100,3,PASS
