时间,耗时,索引,分数,等级,结果
2021-12-01 15:43:32,453ms,0,86,3,PASS
2021-12-01 15:43:33,484ms,0,68,3,PASS
2021-12-01 15:43:35,343ms,0,0,3,NG
2021-12-01 15:43:36,453ms,0,69,3,PASS
2021-12-01 15:43:37,359ms,0,62,3,NG
2021-12-01 15:43:39,359ms,0,0,3,NG
2021-12-01 15:43:40,515ms,0,82,3,PASS
2021-12-01 15:43:41,375ms,0,0,3,NG
2021-12-01 15:43:43,453ms,0,65,3,PASS
2021-12-01 15:43:45,453ms,0,82,3,PASS
2021-12-01 15:43:46,500ms,0,75,3,PASS
2021-12-01 15:43:48,360ms,0,0,3,NG
2021-12-01 15:43:49,453ms,0,88,3,PASS
2021-12-01 15:43:51,484ms,0,91,3,PASS
