时间,耗时,索引,分数,等级,结果
2021-06-01 14:47:49,329ms,0,100,3,PASS
2021-06-01 14:47:51,312ms,0,100,3,PASS
2021-06-01 14:47:52,329ms,0,100,3,PASS
2021-06-01 14:47:53,344ms,0,100,3,PASS
2021-06-01 14:47:54,343ms,0,100,3,PASS
2021-06-01 14:47:55,344ms,0,100,3,PASS
2021-06-01 14:47:56,266ms,0,100,3,PASS
2021-06-01 14:47:57,359ms,0,100,3,PASS
2021-06-01 14:47:58,360ms,0,100,3,PASS
2021-06-01 14:47:59,360ms,0,100,3,PASS
2021-06-01 14:48:00,375ms,0,100,3,PASS
2021-06-01 14:48:01,391ms,0,100,3,PASS
2021-06-01 14:48:02,375ms,0,100,3,PASS
2021-06-01 14:48:03,406ms,0,100,3,PASS
2021-06-01 14:48:04,406ms,0,100,3,PASS
2021-06-01 14:48:05,297ms,0,100,3,NG
2021-06-01 14:48:06,391ms,0,100,3,PASS
2021-06-01 14:48:07,422ms,0,100,3,PASS
2021-06-01 14:48:10,422ms,0,100,3,PASS
2021-06-01 14:48:11,422ms,0,100,3,PASS
2021-06-01 14:48:12,422ms,0,100,3,PASS
2021-06-01 14:48:13,296ms,0,100,3,PASS
2021-06-01 14:48:14,422ms,0,100,3,PASS
2021-06-01 14:48:15,360ms,0,100,3,PASS
2021-06-01 14:48:16,203ms,0,100,3,NG
2021-06-01 14:48:17,422ms,0,100,3,PASS
2021-06-01 14:48:18,266ms,0,100,3,PASS
2021-06-01 14:48:19,312ms,0,100,3,NG
2021-06-01 14:48:20,422ms,0,100,3,PASS
2021-06-01 14:48:21,281ms,0,100,3,PASS
2021-06-01 14:48:22,437ms,0,100,3,PASS
2021-06-01 14:48:24,422ms,0,100,3,PASS
