时间,耗时,索引,分数,等级,结果
2021-11-18 15:42:34,344ms,0,118,3,PASS
2021-11-18 15:42:35,360ms,0,135,3,PASS
2021-11-18 15:42:36,297ms,207,16,3,NG
2021-11-18 15:42:37,343ms,0,164,3,PASS
2021-11-18 15:42:39,359ms,0,59,3,PASS
2021-11-18 15:42:40,359ms,0,134,3,PASS
2021-11-18 15:42:41,344ms,0,247,3,PASS
2021-11-18 15:42:42,328ms,226,32,3,NG
2021-11-18 15:42:44,375ms,0,137,3,PASS
2021-11-18 15:42:45,391ms,0,642,3,PASS
2021-11-18 15:42:46,390ms,0,122,3,PASS
2021-11-18 15:42:47,406ms,0,129,3,PASS
2021-11-18 15:42:49,406ms,0,81,3,PASS
2021-11-18 15:42:50,312ms,210,37,3,NG
2021-11-18 15:42:51,297ms,0,46,3,PASS
2021-11-18 15:42:52,454ms,0,74,3,PASS
2021-11-18 15:42:54,438ms,0,364,3,PASS
2021-11-18 15:42:55,453ms,0,131,3,PASS
2021-11-18 15:42:56,454ms,0,362,3,PASS
2021-11-18 15:42:58,453ms,0,165,3,PASS
2021-11-18 15:42:59,437ms,0,130,3,PASS
2021-11-18 15:43:00,469ms,0,260,3,PASS
2021-11-18 15:43:01,313ms,212,42,3,NG
2021-11-18 15:43:03,421ms,0,159,3,PASS
2021-11-18 15:43:04,344ms,222,55,3,NG
2021-11-18 15:43:06,328ms,211,43,3,NG
2021-11-18 15:43:07,359ms,219,56,3,NG
2021-11-18 15:43:08,328ms,0,50,3,PASS
2021-11-18 15:43:10,375ms,191,45,3,NG
2021-11-18 15:43:11,312ms,0,47,3,PASS
2021-11-18 15:43:13,344ms,220,58,3,NG
