时间,耗时,索引,分数,等级,结果
2021-11-04 17:43:16,375ms,0,0,3,NG
2021-11-04 17:43:18,391ms,0,452,3,PASS
2021-11-04 17:43:19,390ms,0,461,3,PASS
2021-11-04 17:43:21,375ms,0,461,3,PASS
2021-11-04 17:43:22,375ms,0,300,3,PASS
2021-11-04 17:43:23,375ms,0,452,3,PASS
2021-11-04 17:43:24,391ms,0,0,3,NG
2021-11-04 17:43:25,375ms,0,461,3,PASS
2021-11-04 17:43:26,391ms,0,351,3,PASS
2021-11-04 17:43:27,391ms,0,239,3,PASS
2021-11-04 17:43:28,375ms,0,328,3,PASS
2021-11-04 17:43:29,375ms,0,461,3,PASS
2021-11-04 17:43:31,375ms,0,418,3,PASS
2021-11-04 17:43:33,375ms,0,314,3,PASS
2021-11-04 17:43:34,391ms,0,383,3,PASS
2021-11-04 17:44:23,391ms,0,317,3,PASS
2021-11-04 17:44:25,391ms,0,416,3,PASS
2021-11-04 17:44:26,375ms,0,287,3,PASS
2021-11-04 17:44:27,375ms,0,296,3,PASS
2021-11-04 17:44:28,391ms,0,444,3,PASS
2021-11-04 17:44:29,391ms,0,461,3,PASS
2021-11-04 17:44:30,390ms,0,461,3,PASS
2021-11-04 17:44:31,453ms,0,378,3,PASS
2021-11-04 17:44:32,390ms,0,461,3,PASS
2021-11-04 17:44:33,390ms,0,345,3,PASS
2021-11-04 17:44:35,375ms,0,461,3,PASS
2021-11-04 17:44:36,391ms,0,419,3,PASS
2021-11-04 17:44:37,375ms,0,461,3,PASS
2021-11-04 17:44:56,390ms,0,405,3,PASS
2021-11-04 17:44:57,375ms,0,148,3,PASS
2021-11-04 17:44:58,453ms,0,257,3,PASS
2021-11-04 17:44:59,375ms,0,322,3,PASS
2021-11-04 17:45:01,391ms,0,369,3,PASS
2021-11-04 17:45:02,375ms,0,411,3,PASS
2021-11-04 17:45:03,391ms,0,461,3,PASS
2021-11-04 17:45:04,375ms,0,191,3,PASS
2021-11-04 17:45:06,391ms,0,362,3,PASS
2021-11-04 17:45:07,375ms,0,323,3,PASS
2021-11-04 17:45:08,359ms,0,439,3,PASS
2021-11-04 17:45:10,375ms,0,163,3,PASS
2021-11-04 17:45:11,375ms,0,311,3,PASS
2021-11-04 17:45:12,375ms,0,163,3,PASS
2021-11-04 17:45:13,375ms,0,461,3,PASS
2021-11-04 17:45:14,391ms,0,461,3,PASS
2021-11-04 17:45:15,375ms,0,169,3,PASS
2021-11-04 17:45:17,391ms,0,190,3,PASS
2021-11-04 17:49:32,391ms,0,461,3,PASS
2021-11-04 17:49:33,375ms,0,0,3,NG
2021-11-04 17:49:34,391ms,0,461,3,PASS
2021-11-04 17:49:36,375ms,0,403,3,PASS
2021-11-04 17:49:37,375ms,0,461,3,PASS
2021-11-04 17:49:38,375ms,0,0,3,NG
2021-11-04 17:49:39,391ms,0,461,3,PASS
2021-11-04 17:49:41,391ms,0,179,3,PASS
2021-11-04 17:50:19,375ms,0,348,3,PASS
2021-11-04 17:50:20,375ms,0,158,3,PASS
2021-11-04 17:50:22,391ms,0,461,3,PASS
2021-11-04 17:50:23,375ms,0,461,3,PASS
2021-11-04 17:50:24,390ms,0,162,3,PASS
2021-11-04 17:50:25,375ms,0,348,3,PASS
2021-11-04 17:50:27,391ms,0,308,3,PASS
2021-11-04 17:50:29,375ms,0,449,3,PASS
2021-11-04 17:50:30,375ms,0,308,3,PASS
2021-11-04 17:50:31,391ms,0,266,3,PASS
2021-11-04 17:50:33,375ms,0,334,3,PASS
2021-11-04 17:50:34,375ms,0,175,3,PASS
2021-11-04 17:50:35,391ms,0,461,3,PASS
2021-11-04 17:50:36,375ms,0,317,3,PASS
2021-11-04 17:50:38,390ms,0,461,3,PASS
2021-11-04 17:50:39,391ms,0,461,3,PASS
2021-11-04 17:50:40,375ms,0,285,3,PASS
2021-11-04 17:50:42,375ms,0,461,3,PASS
2021-11-04 17:50:43,375ms,0,316,3,PASS
2021-11-04 17:50:44,375ms,0,0,3,NG
2021-11-04 17:50:46,375ms,0,461,3,PASS
2021-11-04 17:51:23,390ms,0,236,3,PASS
2021-11-04 17:51:25,391ms,0,461,3,PASS
2021-11-04 17:51:26,391ms,0,249,3,PASS
2021-11-04 17:51:27,375ms,0,461,3,PASS
2021-11-04 17:51:28,375ms,0,0,3,NG
2021-11-04 17:51:29,375ms,0,461,3,PASS
2021-11-04 17:51:58,375ms,0,234,3,PASS
2021-11-04 17:51:59,390ms,0,279,3,PASS
2021-11-04 17:52:01,391ms,0,187,3,PASS
