时间,耗时,索引,分数,等级,结果
2021-05-31 12:00:35,547ms,0,100,3,PASS
2021-05-31 19:05:44,188ms,0,0,3,NG
2021-05-31 19:05:45,219ms,49,100,3,PASS
2021-05-31 19:05:46,203ms,0,0,3,NG
2021-05-31 19:05:47,250ms,49,100,3,PASS
2021-05-31 19:05:48,235ms,0,0,3,NG
2021-05-31 19:05:49,250ms,49,100,3,PASS
2021-05-31 19:05:50,203ms,0,0,3,NG
2021-05-31 19:05:51,265ms,49,100,3,PASS
2021-05-31 19:05:52,266ms,49,100,3,PASS
2021-05-31 19:05:54,282ms,49,100,3,PASS
2021-05-31 19:06:08,234ms,45,100,3,PASS
2021-05-31 19:06:09,266ms,45,100,3,PASS
2021-05-31 19:06:10,297ms,45,100,3,PASS
2021-05-31 19:06:11,281ms,45,100,3,PASS
2021-05-31 19:06:13,265ms,45,100,3,PASS
2021-05-31 19:06:14,266ms,45,100,3,PASS
2021-05-31 19:06:15,265ms,45,100,3,PASS
2021-05-31 19:06:16,266ms,45,100,3,PASS
2021-05-31 19:06:17,313ms,45,100,3,PASS
2021-05-31 19:06:18,297ms,45,100,3,PASS
2021-05-31 19:06:20,297ms,45,100,3,PASS
2021-05-31 19:06:21,281ms,45,100,3,PASS
2021-05-31 19:06:22,265ms,45,100,3,PASS
2021-05-31 19:06:23,312ms,45,100,3,PASS
2021-05-31 19:06:24,328ms,45,100,3,PASS
2021-05-31 19:06:25,281ms,45,100,3,PASS
2021-05-31 19:06:27,281ms,45,100,3,PASS
2021-05-31 19:06:28,296ms,45,100,3,PASS
2021-05-31 19:06:33,281ms,45,100,3,PASS
2021-05-31 19:06:34,266ms,45,100,3,PASS
2021-05-31 19:06:35,297ms,45,100,3,PASS
2021-05-31 19:06:36,297ms,45,100,3,PASS
2021-05-31 19:06:37,328ms,45,100,3,PASS
2021-05-31 19:06:38,282ms,45,100,3,PASS
2021-05-31 19:06:39,281ms,45,100,3,PASS
2021-05-31 19:06:41,297ms,45,100,3,PASS
2021-05-31 19:06:42,312ms,45,100,3,PASS
2021-05-31 19:06:43,281ms,45,100,3,PASS
2021-05-31 19:06:44,281ms,45,100,3,PASS
2021-05-31 19:06:45,313ms,0,0,3,NG
2021-05-31 19:06:46,250ms,45,100,3,PASS
2021-05-31 19:06:47,281ms,45,100,3,PASS
2021-05-31 19:06:48,266ms,45,100,3,PASS
2021-05-31 19:06:49,281ms,45,100,3,PASS
