时间,耗时,索引,分数,等级,结果
2021-10-17 11:40:12,406ms,0,126,2,PASS
2021-10-17 11:40:14,391ms,0,122,2,PASS
2021-10-17 11:40:18,391ms,0,98,2,PASS
2021-10-17 11:40:19,375ms,0,93,2,PASS
2021-10-17 11:40:21,406ms,0,200,2,PASS
2021-10-17 11:40:22,391ms,0,90,2,PASS
2021-10-17 11:40:23,406ms,0,144,2,PASS
2021-10-17 11:40:27,312ms,0,27,2,PASS
2021-10-17 11:40:28,406ms,0,79,2,PASS
2021-10-17 11:40:30,390ms,0,126,2,PASS
2021-10-17 11:40:32,406ms,0,148,2,PASS
2021-10-17 11:40:33,406ms,0,145,2,PASS
2021-10-17 11:40:36,343ms,0,0,2,NG
2021-10-17 11:55:44,500ms,0,226,3,PASS
2021-10-17 11:55:45,469ms,0,187,3,PASS
2021-10-17 11:55:47,469ms,0,122,3,PASS
2021-10-17 11:55:48,469ms,0,239,3,PASS
2021-10-17 11:55:50,453ms,0,176,3,PASS
2021-10-17 11:55:51,516ms,0,267,3,PASS
2021-10-17 11:58:34,406ms,1,74,3,PASS
2021-10-17 11:58:35,469ms,1,96,3,PASS
2021-10-17 11:58:37,484ms,1,17,3,NG
2021-10-17 11:58:38,453ms,1,106,3,PASS
2021-10-17 11:58:40,438ms,1,61,3,PASS
2021-10-17 11:58:42,516ms,1,100,3,PASS
2021-10-17 11:58:43,422ms,1,45,3,NG
2021-10-17 11:58:44,437ms,1,86,3,PASS
2021-10-17 11:58:45,375ms,1,54,3,PASS
2021-10-17 11:58:47,437ms,1,49,3,NG
2021-10-17 11:58:48,453ms,1,40,3,NG
2021-10-17 11:58:49,531ms,1,110,3,PASS
2021-10-17 11:58:50,500ms,1,121,3,PASS
2021-10-17 11:58:52,469ms,1,145,3,PASS
2021-10-17 11:58:53,406ms,1,40,3,NG
2021-10-17 11:58:54,500ms,1,146,3,PASS
2021-10-17 11:58:55,500ms,1,117,3,PASS
2021-10-17 11:58:57,438ms,1,102,3,PASS
2021-10-17 11:58:58,375ms,1,40,3,NG
2021-10-17 11:58:59,438ms,1,78,3,PASS
2021-10-17 11:59:01,437ms,1,40,3,NG
2021-10-17 11:59:02,453ms,1,114,3,PASS
2021-10-17 11:59:03,437ms,1,40,3,NG
2021-10-17 11:59:05,469ms,1,95,3,PASS
2021-10-17 11:59:06,500ms,1,122,3,PASS
2021-10-17 11:59:08,516ms,1,137,3,PASS
2021-10-17 11:59:09,407ms,1,41,3,NG
2021-10-17 11:59:10,453ms,1,106,3,PASS
2021-10-17 11:59:12,484ms,1,101,3,PASS
2021-10-17 11:59:13,422ms,1,40,3,NG
2021-10-17 11:59:14,407ms,1,93,3,PASS
2021-10-17 11:59:16,391ms,1,40,3,NG
2021-10-17 11:59:17,406ms,1,47,3,NG
2021-10-17 11:59:19,359ms,0,0,3,NG
2021-10-17 11:59:20,407ms,1,42,3,NG
2021-10-17 11:59:21,500ms,1,121,3,PASS
2021-10-17 11:59:23,516ms,1,97,3,PASS
2021-10-17 11:59:24,437ms,1,109,3,PASS
2021-10-17 11:59:25,484ms,1,40,3,NG
2021-10-17 11:59:27,406ms,1,107,3,PASS
2021-10-17 11:59:28,407ms,1,90,3,PASS
2021-10-17 11:59:29,453ms,1,137,3,PASS
2021-10-17 11:59:31,453ms,0,0,3,NG
2021-10-17 11:59:32,500ms,1,40,3,NG
2021-10-17 11:59:53,500ms,1,10,3,NG
2021-10-17 11:59:54,375ms,0,0,3,NG
2021-10-17 12:00:05,484ms,2,181,3,PASS
2021-10-17 12:00:06,437ms,2,20,3,NG
2021-10-17 12:00:07,406ms,2,12,3,NG
2021-10-17 12:00:08,437ms,2,95,3,PASS
2021-10-17 12:00:09,469ms,2,40,3,NG
2021-10-17 12:00:10,391ms,2,112,3,PASS
2021-10-17 12:00:12,546ms,2,129,3,PASS
2021-10-17 12:00:13,500ms,2,144,3,PASS
2021-10-17 12:00:15,485ms,2,116,3,PASS
2021-10-17 12:00:16,515ms,2,32,3,NG
2021-10-17 12:00:17,406ms,2,53,3,PASS
2021-10-17 12:00:19,531ms,2,121,3,PASS
2021-10-17 12:00:20,469ms,2,116,3,PASS
2021-10-17 12:00:21,469ms,2,48,3,NG
2021-10-17 12:00:23,531ms,2,40,3,NG
2021-10-17 12:00:24,469ms,2,126,3,PASS
2021-10-17 12:00:25,375ms,2,59,3,PASS
2021-10-17 12:00:27,516ms,2,141,3,PASS
